PlanId,BrandId,BreweryId,BarCode,QRCode
3,2,1,11003004,684892662
3,2,1,11003004,1707576491
3,2,1,11003004,2949634507
3,2,1,11003004,3298149995
3,2,1,11003004,3365667915
3,2,1,11003004,5342178381
3,2,1,11003004,6587419709
3,2,1,11003004,6601837288
3,2,1,11003004,7696154999
3,2,1,11003004,8374138315
3,2,1,11003004,8954109739
3,2,1,11003004,9367085402
3,2,1,11003004,9475512776
3,2,1,11003004,9828009116
3,2,1,11003007,276909811
3,2,1,11003007,1005606335
3,2,1,11003007,2406617397
3,2,1,11003007,2528933109
3,2,1,11003007,2628103888
3,2,1,11003007,4370785255
3,2,1,11003007,4465021600
3,2,1,11003007,4624549883
3,2,1,11003007,5449593824
3,2,1,11003007,7951797097
3,2,1,11003007,8896613745
3,2,1,11003007,9290544768
3,2,1,11003007,9685131634
3,2,1,11003007,9796292730
3,2,1,11003029,47836019
3,2,1,11003029,1233016347
3,2,1,11003029,2439988760
3,2,1,11003029,2632499521
3,2,1,11003029,3273244815
3,2,1,11003029,3527785595
3,2,1,11003029,5405381031
3,2,1,11003029,5435093281
3,2,1,11003029,5895624171
3,2,1,11003029,6240990363
3,2,1,11003029,6705206621
3,2,1,11003029,7968061312
3,2,1,11003029,8974158587
3,2,1,11003029,9428946069
3,2,1,11003033,180312629
3,2,1,11003033,1334243524
3,2,1,11003033,1743308256
3,2,1,11003033,2582257874
3,2,1,11003033,5079198427
3,2,1,11003033,5975685547
3,2,1,11003033,6400419503
3,2,1,11003033,6804842804
3,2,1,11003033,6996939628
3,2,1,11003033,7402768868
3,2,1,11003033,7462720660
3,2,1,11003033,7543533464
3,2,1,11003033,7746769352
3,2,1,11003033,8004997206
3,2,1,11003043,727660760
3,2,1,11003043,2267848235
3,2,1,11003043,2492644252
3,2,1,11003043,2787123079
3,2,1,11003043,2813923618
3,2,1,11003043,3565471401
3,2,1,11003043,4388448993
3,2,1,11003043,5399091177
3,2,1,11003043,7321948492
3,2,1,11003043,7386694572
3,2,1,11003043,7639864925
3,2,1,11003043,7970274944
3,2,1,11003043,8311433963
3,2,1,11003043,9354918361
3,2,1,11003053,24845822
3,2,1,11003053,44682733
3,2,1,11003053,678016006
3,2,1,11003053,849048865
3,2,1,11003053,1170758609
3,2,1,11003053,1233464198
3,2,1,11003053,2091532187
3,2,1,11003053,2170075053
3,2,1,11003053,3110909718
3,2,1,11003053,3646704598
3,2,1,11003053,3787561127
3,2,1,11003053,4189470103
3,2,1,11003053,5665584645
3,2,1,11003053,9025797156
3,2,1,11003061,933396036
3,2,1,11003061,1336246278
3,2,1,11003061,1849115926
3,2,1,11003061,2231475060
